PLAYER_ID,PLAYER_NAME,POSITION,TEAM,AGE,GAMES,GAMES_STARTED,MIN_TOTAL,PTS,REB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,USAGE_RATE,DWS,OWS,WS,WS_48,PER,TS_PCT,BPM,OBPM,DBPM,PLUS_MINUS,WIN_PCT,NET_RATING
301,Jaylen Clark,SG,MIN,24,52,0,703,3.8,1.9,0.6,0.7,0.2,0.3,1.4,0.425,0.286,0.627,12.5,0.8,0.4,1.2,0.085,9.6,0.516,-2.8,-3.6,0.8,-1.9683999999999997,0.458,-4.199999999999999
302,Asa Newell,PF,ATL,20,38,1,437,5.2,2.1,0.5,0.4,0.3,0.6,1.6,0.541,0.403,0.56,17,0.4,0.5,0.9,0.095,13.8,0.634,-2,-1.3,-0.8,-0.874,0.47,-3
303,Thomas Bryant,C,CLE,28,38,0,392,5.2,2.8,0.6,0.2,0.4,0.4,1.2,0.522,0.366,0.833,17.7,0.5,0.9,1.4,0.173,17.7,0.652,0.7,0.9,-0.1,0.2744,0.5105,1.0499999999999998
304,Tidjane Salaün,PF,CHO,20,31,0,497,6.4,4.4,0.8,0.4,0.2,0.8,1.5,0.518,0.443,0.7,15.1,0.6,0.6,1.2,0.114,13.4,0.642,-0.6,-0.8,0.2,-0.29819999999999997,0.491,-0.8999999999999999
305,Kevin Love,PF,UTA,37,28,5,485,7,5.8,1.8,0.3,0.3,0.8,1.7,0.399,0.364,0.838,16.7,0.2,0.7,0.9,0.086,14.5,0.565,-0.4,0.9,-1.3,-0.194,0.494,-0.6000000000000001
306,Dalton Knecht,SF,LAL,24,42,1,489,4.7,1.5,0.4,0.2,0.2,0.5,1,0.447,0.306,0.7,17.6,0.2,0,0.2,0.02,9.3,0.548,-4.6,-2.6,-2,-2.2493999999999996,0.431,-6.8999999999999995
307,Mike Conley,PG,MIN,38,44,9,812,4.4,1.8,2.9,0.6,0.3,0.6,1.5,0.322,0.321,0.891,11.4,0.8,0.7,1.5,0.087,9,0.502,-1.7,-2.5,0.8,-1.3804,0.4745,-2.55
308,Jase Richardson,SG,ORL,20,38,0,464,5.1,1.4,1.2,0.3,0.1,0.6,1.1,0.468,0.364,0.73,17.5,0.3,0.4,0.7,0.071,11.3,0.573,-3.1,-1.7,-1.4,-1.4384000000000001,0.4535,-4.65
309,Trendon Watford,PF,PHI,25,31,5,505,6.2,3.4,2.6,0.3,0.3,1.1,2,0.524,0.37,0.721,16.5,0.5,0.6,1.1,0.102,13.5,0.589,-1,-1.4,0.4,-0.505,0.485,-1.5
310,Cam Whitmore,SF,WAS,21,21,0,354,9.2,2.8,0.7,0.7,0.4,0.9,1.2,0.456,0.286,0.742,23.7,0.1,-0.1,0.1,0.007,13.8,0.528,-3.2,-1.1,-2.1,-1.1328,0.452,-4.800000000000001
311,Trae Young,PG,ATL,27,10,10,280,19.3,1.5,8.9,1,0.1,2.6,2,0.415,0.305,0.863,28.8,0.2,0.7,0.8,0.145,19.8,0.577,1.3,3.3,-2,0.36400000000000005,0.5195,1.9500000000000002
312,Josh Minott,PF,BOS,23,33,10,526,5.8,3.6,1,0.7,0.4,0.6,1.5,0.507,0.442,0.769,13.8,0.8,1.1,1.8,0.168,15.7,0.651,2,0.9,1.1,1.052,0.53,3
313,Julian Strawther,SG,DEN,23,31,3,413,6.2,2.1,0.9,0.4,0.1,0.6,1.1,0.445,0.323,0.784,19.9,0.3,0.2,0.5,0.057,12.1,0.567,-3.4,-2.1,-1.4,-1.4042,0.449,-5.1
314,Justin Edwards,SF,PHI,22,40,5,570,4.8,1.5,1.1,0.7,0.2,0.6,1.5,0.402,0.346,0.913,14.7,0.5,0.2,0.7,0.062,9.6,0.546,-2.6,-2.9,0.2,-1.482,0.461,-3.9000000000000004
